               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089463,            0.022794,            0.069018,             0.11982,            0.033634,            0.035449,            0.012136,            0.050719,            0.008497,             0.06475,            0.070294,           0.0033007,           0.0033007
                   1,            0.048477,            0.020678,            0.065702,            0.082144,              0.5762,             0.11292,            0.067416,            0.035867,           0.0052553,            0.061305,            0.038105,           0.0044448,           0.0044448
                   2,            0.038326,            0.015382,            0.064406,            0.088039,             0.79463,              0.1262,            0.082285,            0.027582,           0.0045043,            0.059823,           0.0037157,           0.0033889,           0.0033889
